gFx,gFy,gFz
-0.0243,0.6959,0.7241
-0.0243,0.6932,0.7241
-0.0257,0.691,0.7243
-0.0248,0.6942,0.7219
-0.0252,0.6952,0.7224
-0.0233,0.6939,0.7236
-0.0233,0.6908,0.7236
-0.0265,0.6932,0.7246
-0.0252,0.6944,0.7251
-0.0228,0.6915,0.7258
-0.024,0.6937,0.7297
-0.0274,0.6905,0.729
-0.0238,0.6908,0.7309
-0.0201,0.6922,0.7322
-0.0199,0.6937,0.7314
-0.0223,0.69,0.7348
-0.0196,0.6898,0.7351
-0.0223,0.6891,0.7339
-0.0213,0.693,0.7351
-0.0206,0.6927,0.7363
-0.0223,0.6905,0.7373
-0.0233,0.6878,0.737
-0.0221,0.6888,0.7373
-0.0226,0.6881,0.7356
-0.0252,0.6925,0.7351
-0.025,0.69,0.7356
-0.024,0.6886,0.7336
-0.0221,0.6891,0.7329
-0.023,0.691,0.7346
-0.0235,0.6925,0.7305
-0.023,0.6898,0.73
-0.025,0.6866,0.729
-0.0257,0.69,0.7295
-0.0279,0.692,0.7285
-0.0252,0.691,0.73
-0.026,0.6918,0.7287
-0.0262,0.6903,0.7268
-0.023,0.6918,0.7287
-0.0255,0.6922,0.7287
-0.0233,0.69,0.727
-0.0235,0.6905,0.7273
-0.0201,0.6893,0.7256
-0.0218,0.6893,0.728
-0.0221,0.6925,0.7268
-0.0196,0.691,0.7305
-0.0196,0.6922,0.73
-0.0223,0.6888,0.7302
-0.0235,0.6886,0.7319
-0.0196,0.693,0.7339
-0.0189,0.6937,0.7329
-0.0191,0.6913,0.7346
-0.0204,0.6908,0.7329
-0.0194,0.6905,0.7341
-0.0184,0.6881,0.7385
-0.0189,0.6876,0.7358
-0.0211,0.6888,0.7353
-0.0199,0.6898,0.7388
-0.0194,0.6903,0.7366
-0.0189,0.6925,0.737
-0.0223,0.6944,0.737
-0.0218,0.6947,0.7383
-0.0208,0.6898,0.7385
-0.0206,0.6903,0.7402
-0.0216,0.6944,0.74
-0.0201,0.6891,0.7427
-0.023,0.6886,0.7439
-0.0186,0.6893,0.7461
-0.0216,0.6888,0.7495
-0.0218,0.6876,0.7488
-0.0204,0.6871,0.7493
-0.0189,0.6876,0.7493
-0.0216,0.6883,0.749
-0.0206,0.6874,0.7483
-0.026,0.6898,0.7468
-0.0257,0.6908,0.7446
-0.0265,0.6891,0.74
-0.024,0.6905,0.7375
-0.0265,0.6913,0.7334
-0.0267,0.6935,0.7312
-0.0296,0.6935,0.7307
-0.0296,0.6922,0.7273
-0.0279,0.6942,0.7239
-0.0284,0.6922,0.7226
-0.0248,0.6932,0.7197
-0.026,0.6918,0.7214
-0.0245,0.6942,0.7202
-0.024,0.6966,0.717
-0.0248,0.6974,0.717
