gFx,gFy,gFz
-0.0418,0.9397,0.3447
-0.044,0.9421,0.344
-0.0431,0.9385,0.3435
-0.0443,0.938,0.3423
-0.0431,0.9404,0.3464
-0.0399,0.9373,0.3469
-0.0406,0.9397,0.3484
-0.0411,0.9387,0.3508
-0.0423,0.9373,0.3496
-0.0394,0.9387,0.3501
-0.0418,0.9375,0.3494
-0.0404,0.9373,0.3501
-0.0418,0.937,0.3511
-0.0421,0.937,0.3513
-0.0384,0.9375,0.3521
-0.0426,0.9348,0.3538
-0.0433,0.9407,0.356
-0.0423,0.9402,0.3586
-0.0401,0.939,0.3574
-0.0423,0.9402,0.3596
-0.0438,0.9402,0.3599
-0.044,0.9397,0.3604
-0.0443,0.9417,0.3621
-0.0472,0.9409,0.364
-0.0475,0.9397,0.3613
-0.046,0.9382,0.3633
-0.0458,0.9368,0.363
-0.045,0.9363,0.3613
-0.0509,0.937,0.3613
-0.0477,0.9377,0.3606
-0.0475,0.9368,0.3596
-0.046,0.9338,0.3557
-0.0465,0.9373,0.3562
-0.0462,0.9363,0.3535
-0.0458,0.9346,0.353
-0.0455,0.938,0.3516
-0.0455,0.9387,0.3501
-0.0472,0.937,0.3511
-0.0487,0.938,0.3538
-0.047,0.9348,0.3528
-0.0472,0.9377,0.3511
-0.047,0.9375,0.3521
-0.047,0.9382,0.3523
-0.0467,0.9356,0.3555
-0.0475,0.9402,0.3523
-0.0455,0.9363,0.3525
-0.0475,0.9375,0.3552
-0.0489,0.9351,0.3574
-0.0467,0.9375,0.355
-0.0472,0.9351,0.3557
-0.0465,0.9329,0.354
-0.0477,0.9336,0.3547
-0.0472,0.9346,0.354
-0.0472,0.9304,0.3547
-0.047,0.9331,0.3565
-0.0475,0.9358,0.3565
-0.0462,0.9353,0.3584
-0.0448,0.9336,0.3586
-0.046,0.9358,0.3604
-0.0448,0.9375,0.3613
-0.0453,0.9395,0.3645
-0.0431,0.9385,0.3613
-0.0445,0.9395,0.3633
-0.0467,0.939,0.3657
-0.047,0.9377,0.3604
-0.0479,0.939,0.3613
-0.0477,0.9375,0.3613
-0.0472,0.9387,0.3618
-0.0467,0.9363,0.3601
-0.0479,0.9365,0.3599
-0.0458,0.9363,0.3579
-0.0458,0.9365,0.3589
-0.044,0.9368,0.3606
-0.0484,0.9375,0.3589
-0.0453,0.9326,0.3567
-0.0462,0.9343,0.3557
-0.0487,0.9321,0.3579
-0.0467,0.9329,0.3586
-0.046,0.9346,0.3594
-0.0484,0.9334,0.3591
-0.0455,0.9321,0.3584
-0.046,0.9329,0.3577
-0.0453,0.9321,0.3584
-0.0465,0.9331,0.3584
-0.0489,0.9314,0.3574
-0.0448,0.9324,0.3579
-0.0465,0.9321,0.3574
-0.0489,0.9312,0.3584
-0.0479,0.9341,0.3582
-0.047,0.9343,0.3572
-0.047,0.9334,0.3579
-0.0448,0.9334,0.3572
-0.0458,0.9314,0.3552
-0.0428,0.9319,0.3538
-0.046,0.9307,0.3552
-0.0445,0.9314,0.3552
-0.0477,0.9329,0.3555
-0.0445,0.9329,0.3584
-0.0462,0.9292,0.3604
-0.046,0.9334,0.3582
-0.0477,0.9338,0.3604
-0.0458,0.9329,0.3574
-0.0438,0.9336,0.3589
-0.0465,0.9343,0.3589
-0.0458,0.9356,0.3555
-0.0458,0.9338,0.356
-0.0455,0.9373,0.356
-0.0453,0.9343,0.3577
-0.0414,0.9338,0.3533
-0.0421,0.9346,0.354
-0.0455,0.937,0.354
-0.0472,0.9356,0.3535
-0.0467,0.9368,0.3523
-0.0453,0.9334,0.3525
-0.0416,0.9329,0.3508
-0.0465,0.9351,0.3506
-0.046,0.9351,0.3523
-0.0443,0.9341,0.3499
-0.0431,0.9358,0.3511
-0.0436,0.9348,0.3516
-0.0436,0.9365,0.3513
-0.0477,0.938,0.353
-0.0475,0.9324,0.3552
-0.0465,0.9319,0.3533
-0.0501,0.9334,0.3547
-0.0475,0.9331,0.356
-0.0492,0.9358,0.355
-0.0455,0.9338,0.3565
-0.0472,0.9346,0.3582
-0.0433,0.9377,0.3577
-0.0448,0.9387,0.3586
-0.0399,0.9402,0.3574
-0.0433,0.9373,0.3582
-0.0423,0.9336,0.3582
-0.0411,0.9365,0.3608
-0.0392,0.9338,0.3596
-0.0396,0.9336,0.3596
-0.0426,0.9365,0.3604
-0.0416,0.9336,0.3577
-0.0401,0.9343,0.3606
-0.0409,0.9316,0.3608
-0.0362,0.9287,0.3596
-0.0396,0.9343,0.3611
-0.0406,0.9321,0.3584
-0.0423,0.9316,0.3591
-0.0409,0.9334,0.3618
-0.046,0.9326,0.3618
-0.0416,0.9312,0.3613
-0.044,0.9312,0.3594
-0.0458,0.9331,0.3606
-0.0426,0.9338,0.3589
-0.0467,0.9316,0.3586
-0.0431,0.9319,0.3582
-0.0421,0.9334,0.3579
-0.0431,0.9324,0.3569
-0.0416,0.9316,0.356
-0.0436,0.9324,0.3565
-0.044,0.9334,0.3562
-0.0453,0.9343,0.3557
-0.0438,0.9336,0.3535
-0.0399,0.9363,0.3547
-0.0462,0.9341,0.3513
-0.0438,0.9341,0.3523
