gFx,gFy,gFz
-0.0404,1.0643,0.1258
-0.0357,1.0728,0.1214
-0.037,1.078,0.1212
-0.0326,1.0821,0.1168
-0.0277,1.087,0.1124
-0.0296,1.0948,0.1077
-0.0306,1.0987,0.1046
-0.0296,1.097,0.1029
-0.0333,1.0987,0.0999
-0.0392,1.0997,0.097
-0.0414,1.097,0.095
-0.0482,1.0934,0.0946
-0.0519,1.0895,0.0916
-0.0584,1.0836,0.0904
-0.0655,1.0765,0.0919
-0.0707,1.0741,0.0938
-0.0758,1.0614,0.0941
-0.078,1.0487,0.0931
-0.0805,1.0355,0.0946
-0.0841,1.0269,0.0972
-0.0888,1.0154,0.0987
-0.09,1.0042,0.1014
-0.0958,0.9925,0.1019
-0.0966,0.98,0.1036
-0.0968,0.9693,0.1048
-0.0997,0.9565,0.1055
-0.0951,0.9451,0.1043
-0.0907,0.9331,0.1041
-0.0878,0.9182,0.1009
-0.0814,0.9063,0.0985
-0.0756,0.8913,0.0936
-0.0689,0.8816,0.0877
-0.0614,0.8703,0.0863
-0.0545,0.8571,0.0814
-0.0477,0.8462,0.0736
-0.0326,0.8303,0.0679
-0.0238,0.8198,0.0604
-0.014,0.8049,0.0542
-0.0067,0.7953,0.0467
0.0021,0.7846,0.0391
0.0102,0.7731,0.0303
0.0163,0.7601,0.0249
0.0248,0.7528,0.0169
0.0307,0.7401,0.0105
0.0363,0.7296,0.0039
0.0397,0.7203,-0.0037
0.0449,0.713,-0.0122
0.0508,0.7047,-0.0164
0.0532,0.6944,-0.022
0.0593,0.6888,-0.0225
0.0642,0.6771,-0.0303
0.0654,0.6707,-0.0303
0.0703,0.6646,-0.0354
0.0769,0.6561,-0.0378
0.0815,0.6512,-0.0378
0.0857,0.6431,-0.0376
0.0903,0.6326,-0.0378
0.0942,0.6312,-0.0356
0.0947,0.626,-0.0332
0.0974,0.6202,-0.0303
0.1033,0.6192,-0.0247
0.1067,0.6185,-0.0193
0.105,0.6128,-0.0129
0.1065,0.6151,-0.0078
0.1084,0.6118,-0.0012
0.1062,0.6114,0.0042
0.104,0.6153,0.012
0.1072,0.6173,0.0193
0.1074,0.6207,0.0252
0.1018,0.6219,0.034
0.0999,0.6287,0.0396
0.0962,0.6326,0.0479
0.093,0.6412,0.0562
0.0876,0.6466,0.0638
0.0791,0.658,0.0699
0.0688,0.6656,0.0753
0.0613,0.6805,0.0826
0.0515,0.6944,0.0858
0.0363,0.7084,0.0892
0.0268,0.7198,0.0916
0.0192,0.7365,0.097
0.006,0.7499,0.0999
-0.0067,0.7648,0.1016
-0.0235,0.7883,0.1053
-0.0357,0.8032,0.1055
-0.0467,0.8237,0.1046
-0.0558,0.8408,0.1026
-0.0616,0.8584,0.1004
-0.0711,0.8786,0.0992
-0.0834,0.9008,0.0965
-0.0973,0.9219,0.0928
-0.1061,0.9421,0.0899
-0.1193,0.9641,0.0892
-0.1234,0.9847,0.0875
-0.1259,1.0039,0.0858
-0.1215,1.0198,0.0843
-0.1198,1.0406,0.0848
-0.1185,1.0609,0.0821
-0.1119,1.0795,0.0794
-0.1027,1.097,0.0772
-0.0966,1.1171,0.0753
-0.1054,1.1396,0.0709
-0.1232,1.1664,0.0643
-0.1418,1.1953,0.0564
-0.1652,1.2258,0.0489
-0.1823,1.2549,0.0445
-0.2004,1.279,0.0362
-0.2129,1.3023,0.0259
-0.2116,1.323,0.0254
-0.217,1.3433,0.0174
-0.2331,1.3611,0.0078
-0.2443,1.3873,-0.002
-0.2563,1.407,-0.0093
-0.2707,1.4271,-0.0154
-0.2859,1.452,-0.0193
-0.3018,1.4686,-0.0234
-0.302,1.4801,-0.0261
-0.2993,1.4869,-0.0269
-0.2996,1.4882,-0.03
-0.29,1.4906,-0.0344
-0.2812,1.4884,-0.0361
-0.2725,1.4855,-0.0376
-0.2566,1.4757,-0.0422
-0.2446,1.4654,-0.0408
-0.2302,1.4537,-0.0376
